facility_name,facility_state,facility_address,facility_city,facility_zip,facility_phone_number,facility_extra_info
Arpi Home Health Care,California,"206 N JACKSON ST, STE 100",Glendale,91206,818-239-3949,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Arpi. Home Health,California,"801 South Chevy Chase Blvd., Suite 205",Glendale,91205,323-665-6464,""
ARPI. Home Health Care,California,"801 S. Chevy Chase Drive, Suite 205",Glendale,91205,323-665-6464,""
Asn Horizon Home Health,California,1209 North Central Avenue Suite 205,Glendale,91202,818-240-6700,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Athena Home Health Services,California,512 E Wilson Avenue Suite 400,Glendale,91206,818-507-6628,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Be Well Home Health Care,California,"457 W Arden Avenue, Suite 202",Glendale,91203,818-242-1777,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Best Care Home Health Group,California,126 South Jackson Street Suite 303,Glendale,91205,818-247-4444,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Best Quality Home Health Care,California,"318 North Brand Blvd, Suite D",Glendale,91203,818-244-4424,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Broadway Home Health Services,California,"644 W BROADWAY, SUITE 100",Glendale,91204,818-500-0041,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Calicare Home Health Services,California,457 West Colorado St Suite 203,Glendale,91204,818-310-7777,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Care For All Health Services,California,"126 S JACKSON ST, SUITE 204",Glendale,91205,818-240-0220,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Central Home Health Agency,California,"210 N. CENTRAL AVENUE, SUITE 210",Glendale,91203,818-242-0439,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Central Home Health Care,California,"1016 E BROADWAY STREET, STE 205",Glendale,91205,818-500-1254,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
CIGNA Health Care,California,400 N. Brand Blvd.,Glendale,91203,818-500-6262,""
Citywide Home Care,California,"415 E HARVARD ST, SUITE 203",Glendale,91205,818-502-9151,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Comcare Home Health,California,"100 WEST BROADWAY, STE 800",Glendale,91210,818-952-5164,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Community Home Health Care Services,California,1012 E COLORADO ST #270,Glendale,91205,818-244-7029,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Concord Home Health Care,California,"424 North Lake Avenue, Suite 202",Glendale,91208,818-241-7675,""
Constant Care Home Health Agency,California,1612 N Victory Blvd,Glendale,91201,818-246-1133,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Core Home Health Agency,California,"421 Arden Avenue, Suite B",Glendale,91203,818-637-2673,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Cqi Homecare,California,520 E WILSON AVE SUITE 230,Glendale,91204,818-549-4830,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Crystal Clear Home Health,California,"1016 E BROADWAY, SUITE 109",Glendale,91205,818-241-7141,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Crystalcare Home Health,California,442 West Broadway,Glendale,91203,818-956-8761,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Daylight Home Health Services,California,"225 E Broadway Blvd, Suite B105",Glendale,91204,818-956-2213,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Dedicated Home Health Care,California,356-A West Colorado St,Glendale,91204,818-548-2684,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Deistic Home Health Care,California,327 ARDEN AVE SUITE 201,Glendale,91203,816-649-1475,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Dependable Home Care Agency,California,356A West Colorado Street,Glendale,91204,213-385-1615,""
Direct Nursing Services,California,"1111 N BRAND BLVD, STE 310",Glendale,91202,818-985-9898,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Divine Grace Home Health,California,"127 S BRAND BLVD, STE 340",Glendale,91204,818-956-5872,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Egeia Home Health,California,1101 E. Broadway Avenue Suite 102,Glendale,91205,818-243-8408,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Egida Home Health Care,California,"1007 S CENTRAL AVE, SUITE 210",Glendale,91204,818-242-3536,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Elite Home Care,California,"500 North Central Ave, Suite 935",Glendale,91203,818-500-8778,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Elite Home Health,California,220 S. KENWOOD ST. SUITE 220,Glendale,91205,818-502-9494,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Express Home Health Care,California,"644 W Broadway, #102",Glendale,91204,818-549-0022,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Five Star Quality Health Care,California,"541 W COLORADO BLVD, SUITE 322",Glendale,91204,818-507-6469,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Glendale Home Health Care,California,914 N Glendale Ave,Glendale,91206,818-502-2121,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Glendale Home Health Care,California,"1016 E BROADWAY, SUITE 102",Glendale,91205,818-637-2223,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Glendale Memorial Home Health Services,California,1420 South Central Avenue,Glendale,91204,818-502-2363,""
Golden Heart Home Health Care,California,"3539 Ocean View Blvd, Suite 1",Glendale,91208,818-957-0009,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Goldencare Home Health Agency,California,436 West Broadway Blvd,Glendale,91204,818-241-7094,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Guardian Home Health,California,"1101 E BROADWAY, SUITE 107",Glendale,91205,818-291-8444,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Harvard Health Services,California,"126 SOUTH JACKSON ST, SUITE 205",Glendale,91205,818-502-9996,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Health Alliance Home Care,California,815 East Colorado Boulevard,Glendale,91205,323-258-6681,""
Heavenly Home Health,California,"805 East Broadway, Suite H",Glendale,91205,818-500-9007,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Health 4U,California,"333 South Central Avenue, Suite 105",Glendale,91204,818-507-9419,""
Home Health Care Dynasty,California,"1801 Victory Boulevard, Unit A",Glendale,91201,818-543-7059,""
Home Health Care Of The West,California,"635 W. Colorado Street, Suite 100 & 102",Glendale,91204,818-551-5545,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
I&V Home Health,California,"644 W BROADWAY, SUITE 112",Glendale,91204,818-243-3368,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
K & A CARE,California,225 E BROADWAY STE 209,Glendale,91205,818-507-5678,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
L A Health Services,California,"126 South Jackson Street, Suite 303",Glendale,91205,818-502-9404,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
La Best Home Health,California,1101 East Broadway Suite 105,Glendale,91205,818-242-7200,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lga Home Health,California,"1314 W GLENOAKS BLVD, SUITE 101",Glendale,91201,818-244-1841,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Libra Home Health Care,California,"125 E GLENOAKS BLVD, UNIT 104",Glendale,91207,818-662-8080,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Life Services,California,"1111 North Brand Boulevard, Ste K",Glendale,91202,818-547-0585,""
Life's Bridge Home Health Care,California,121 W Lexington Dr Suite B168,Glendale,91203,818-241-4332,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Livi's Home Health Care,California,"1224 E BROADWAY, STE 103",Glendale,91205,818-502-1902,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
LPG Health Care,California,"415 East Harvard Street, Suite 201",Glendale,91205,818-547-3335,""
Accu - Rite Health Services,California,163 W Arrow Highway,Glendora,91740,626-963-8887,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Advent Home Health Care Services,California,1128 E ROUTE 66,Glendora,91740,626-852-1985,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Advent Home Health Care Services,California,1128 East Alosta Avenue,Glendora,91740,818-331-6954,""
Ambiance Home Health,California,404 West Baseline,Glendora,91740,626-852-6878,""
Austin Home Care for Healthy Living,California,836 East Whitcomb Avenue,Glendora,91741,877-276-6821,""
Blue Diamond Home Health Provider,California,"1135 EAST ROUTE 66, SUITE 209",Glendora,91740,626-594-4990,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Care Unlimited Health Services,California,1025 West Arrow Highway Suite 105,Glendora,91740,626-332-3767,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Community Care Hospice,California,222 West Foothill Boulevard,Glendora,91741,626-335-9759,""
Emerald Management Resources,California,"417-B West Foothill Blvd., Suite #201",Glendora,91741,626-610-4004,""
Foothill Prebyterian Hospital Home Health,California,250 South Grand Avenue,Glendora,91741,626-857-3339,""
Health Care Equipment Center Foot Hil Operations,California,250 South Grand Avenue,Glendora,91741,855-757-9233,""
Home Care Plus Glendora Community Hospital,California,150 West Alosta Avenue,Glendora,91740,626-335-0231,""
Ideal Home Care,California,1751 S GRAND AVE,Glendora,91740,626-966-7677,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lifelink Health Providers,California,"626 W ROUTE 66, SUITE G",Glendora,91740,626-387-9650,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Penny Lane Senior Care,California,"620 W. Route 66, Suite 106",Glendora,91740,626-335-9333,"Services: Hospice, Private Duty Home Care, Home Care, and Home Health Aid"
Reliance Home Health Care,California,620 W ROUTE 66 SUITE 207,Glendora,91740,626-857-7777,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Serenity Health Care,California,1139 S Grand Avenue,Glendora,91740,626-914-8481,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Visiting Angels,California,"223 S Glendora Avenue, Suite 104",Glendora,91741,626-852-3302,Services: Home Care
California Nurses Home Health,California,17418 Chatsworth Street Suite 200,Granada Hills,91344,818-832-1889,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Health 4u,California,15650 DEVONSHIRE ST STE 200,Granada Hills,91344,818-892-1200,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Homebound Health Care Services,California,"10515 BALBOA BLVD, SUITE 355",Granada Hills,91344,818-368-0153,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Intra Med Home Health,California,11922 Louise Avenue,Granada Hills,91344,818-773-8088,""
Kaiser Foundation Hospital Valley Continuing Care,California,10605 BALBOA BLVD SUITE 330,Granada Hills,91344,818-832-7200,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
New Century Home Health,California,"15600 DEVONSHIRE ST, STE 204",Granada Hills,91344,818-892-6400,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
